run,ped,sig,nPE,onePEsig,mu,detector,position,Ver,,,,,,,,,,,,,,,,
354,1297.5,140.14,196.42,0.153224,1.340106,1b,0,,,,,,,,,,,,,,,,,
355,1297.7,173.07,242.57,0.254033,1.603069,1b,-11,,,,,,,,,,,,,,,,,
356,1300,173.53,243.21,0.219443,1.527388,1b,-11,,,,,,,,,,,,,,,,,
357,1300,175.52,246,0.145854,1.241994,1b,-11,,,,,,,,,,,,,,,,,
358,1300,161.93,226.95,0.092259,0.04686,1b,-13,,,,,,,,,,,,,,,,,
360,1300,155,217.24,0.080322,1,1b,-14.5,,,,,,,,,,,,,,,,,
361,1300,155,217.24,0.080322,0.150853,1b,-14,hor,,,,,,,,,,,,,,,,
362,1297.5,142.83,200.19,0.135621,1.404022,1b,-1.5,0,,,,,,,,,,,,,,,,
363,1300,118.89,166.63,0.150956,0.706022,1b,,6.5,,,,,,,,,,,,,,,,
368,1296.91,101.96,142.9,0.735376,0.86462,1b,,6,,,,,,,,,,,,,,,,
369,1300,102,142.96,0.27451,0.428955,1b,,6,,,,,,,,,,,,,,,,
370,1300,136.55,191.38,0.157533,1.460662399,1b,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BB moves,,,,,,,,,,,,,,,,
400,1298.92,106.61,149.42,0.315992,0.153001,1b,,,,,,,,,,,,,,,,,,
401,1298.42,127.73,179.02,0.163405,1.551427402,1b,,,,,,,,,,,,,,,,,,
405,1298.92,129.3,181.21,0.137576,1.372278406,1b,,,,,,,,,,,,,,,,,,
407,1300,132.76,186.08,0.165838,1.584225,1b,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,hor,,,,,,,,,,,,,,,,
408,1298.59,138,193.42,0.144518,1.55622,1b,0,,,,,,,,,,,,,,,,,
409,1300,121.33,170.05,0.178581,1.185851,1b,4,,,,,,,,,,,,,,,,,
410,1298.69,151.81,212.76,0.153852,1.29822,1b,-4.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ver,,,,,,,,,,,,,,,,
411,1300,140.27,196.59,0.156334,1.553524,1b,0,,,,,,,,,,,,,,,,,
412,1298.76,148.49,208.12,0.178896,1.752937,1b,3,,,,,,,,,,,,,,,,,
413,1298.86,148.33,207.9,0.155654,1.631789,1b,3,,,,,,,,,,,,,,,,,
414,1298.78,165.23,231.58,0.153616,1.678598,1b,5,,,,,,,,,,,,,,,,,
